 DEPTH          GR                SP              CAL            LLD             LLS             AC                DEN           CNL
2548.000    87.6648      -72.7100     23.1210     25.8771      28.3457      217.9230      2.5320       14.8400   
2548.125    84.0267      -72.7150     23.1210     29.0453      31.6203      217.0310      2.5340       14.4910   
2548.250    80.2713      -72.7570     23.1090     34.0443      36.8515      214.8620      2.5350       13.7670   
2548.375    77.9242      -72.8230     23.0980     37.0798      40.2316      212.3850      2.5300       13.0170   
2548.500    78.7457      -72.8860     23.0980     37.9892      41.6210      210.4310      2.5190       12.5210   
2548.625    81.4449      -72.9410     23.0980     37.3693      41.3070      209.7380      2.5030       12.3350   
2548.750    85.3176      -72.9750     23.0980     35.4926      39.5279      210.7380      2.4980       12.5660   
2548.875    87.6648      -72.9920     23.0980     32.6552      36.5484      212.9380      2.4920       13.0400   
2549.000    89.7772      -72.9940     23.0860     28.9505      32.5533      215.4610      2.4900       13.4640   
2549.125    91.4201      -72.9950     23.0860     27.0133      30.4425      217.7080      2.4930       13.6150   
2549.250    92.4763      -72.9920     23.0860     26.7977      30.2176      219.1380      2.5030       13.1970   
2549.375    92.4763      -72.9800     23.0980     27.5601      31.0918      219.1080      2.5080       12.3760   
2549.500    87.4300      -72.9470     23.0980     29.9149      33.7846      217.3230      2.5210       11.4140   
2549.625    81.9143      -72.9020     23.0980     34.4576      38.9283      214.3080      2.5350       10.6040   
2549.750    76.0465      -72.8620     23.0980     41.4276      46.8882      210.8460      2.5400       10.0510   
2549.875    73.6994      -72.8300     23.0980     45.9256      52.2538      207.5380      2.5460       9.9760    
2550.000    75.6945      -72.8060     23.0860     47.8344      54.8553      205.0310      2.5380       10.1200   
2550.125    79.3325      -72.8020     23.0740     47.4380      54.5682      203.9080      2.5260       10.3590   
2550.250    84.2614      -72.8170     23.0740     45.4274      52.2360      204.2460      2.5200       10.3960   
2550.375    87.7821      -72.8410     23.0860     42.6062      49.1144      205.1080      2.5120       10.2280   
2550.500    86.3738      -72.8700     23.0980     39.6635      46.0510      205.8150      2.5040       9.8830    
2550.625    83.2052      -72.9260     23.0980     39.3065      45.7592      205.9850      2.5010       9.4450    
2550.750    76.5160      -73.0070     23.0980     41.7420      48.8933      205.3380      2.4970       9.0830    
2550.875    72.1738      -73.1030     23.0980     44.8269      53.6864      203.5380      2.4910       9.0330    
2551.000    71.7044      -73.2060     23.0980     48.4112      59.5068      201.4150      2.4770       9.3470    
2551.125    74.4036      -73.3170     23.1090     51.4034      62.6973      200.1690      2.4500       10.0140   
